"line","scenario","scenario_name","query","axes"
"1","01-low-power","低电模式","弄个有点击按钮的卡片 点了跳到充电地图 顺便读一下今天的日程吧","{""size"":""2x2"",""component"":""Button"",""binding"":""literal"",""click"":""deeplink_health"",""data"":""calendar"",""surface"":""split-surface"",""composition"":""hero-top"",""status"":""none"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""row""}"
"2","01-low-power","低电模式","能点开导航找充电宝的，能读天气，提示我快没电了吧","{""size"":""2x2"",""component"":""Text"",""binding"":""path"",""click"":""intent_navigate"",""data"":""weather"",""surface"":""dark-stage"",""composition"":""split-action"",""status"":""warning"",""gradient"":""none"",""asset"":""none"",""template"":""row""}"
"3","01-low-power","低电模式","整个电量监控的嘛,能看百分比,点能开省电,能读天气,红色警告加上","{""size"":""2x4"",""component"":""Progress"",""binding"":""literal"",""click"":""deeplink_settings"",""data"":""weather"",""surface"":""split-surface"",""composition"":""split-action"",""status"":""alert"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""row""}"
"4","01-low-power","低电模式","弄个卡片吧，按钮能进系统设置，电量数字会变，能读日历提醒快没电了","{""size"":""2x4"",""component"":""Button"",""binding"":""expression"",""click"":""intent_calendar"",""data"":""calendar"",""surface"":""plain"",""composition"":""ambient-root"",""status"":""warning"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"5","01-low-power","低电模式","整个电量数字会变的卡片 点一下能进省电模式 还要有红色危险提示","{""size"":""2x2"",""component"":""Column"",""binding"":""expression"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""dark-stage"",""composition"":""ambient-root"",""status"":""alert"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""row""}"
"6","01-low-power","低电模式","列一排能关的东西，按一下能开省电模式","{""size"":""2x2"",""component"":""List"",""binding"":""literal"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""dark-stage"",""composition"":""hero-left"",""status"":""none"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""row""}"
"7","01-low-power","低电模式","整个能打勾那种省电卡数字会变点一下找充电宝能读日程还有红色提醒","{""size"":""2x2"",""component"":""Checkbox"",""binding"":""expression"",""click"":""deeplink_settings"",""data"":""calendar"",""surface"":""image-derived"",""composition"":""hero-left"",""status"":""alert"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""list""}"
"8","01-low-power","低电模式","给我弄个有比例的卡数字会变点地图找充电宝读日程红色警告","{""size"":""2x4"",""component"":""Progress"",""binding"":""expression"",""click"":""deeplink_settings"",""data"":""calendar"",""surface"":""plain"",""composition"":""ambient-root"",""status"":""alert"",""gradient"":""ambient-band"",""asset"":""icon"",""template"":""row""}"
"9","01-low-power","低电模式","搞个卡,字叠背景图上,点一下跳充电应用,顺便读日程","{""size"":""2x4"",""component"":""Stack"",""binding"":""literal"",""click"":""deeplink_settings"",""data"":""calendar"",""surface"":""colored-root"",""composition"":""hero-left"",""status"":""none"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""list""}"
"10","01-low-power","低电模式","搞个省电模式卡片 文字叠在图上 显示剩多少电 点了能跳应用","{""size"":""2x4"",""component"":""Stack"",""binding"":""formatString"",""click"":""deeplink_health"",""data"":""static"",""surface"":""image-derived"",""composition"":""split-action"",""status"":""none"",""gradient"":""none"",""asset"":""none"",""template"":""none""}"
"11","01-low-power","低电模式","深色舞台风的低电卡，左边显示当前电量和天气，右边横排一排小色块代表""关蓝牙/关定位/降亮度""三项都标绿色""已关闭""可用状态，下方一个明显大按钮一点就切到省电模式，整体来点橙红紧迫渐变，纯文字和色块不要图片。","{""size"":""2x2"",""component"":""Button"",""binding"":""expression"",""click"":""intent_setting_switch"",""data"":""weather"",""surface"":""dark-stage"",""composition"":""split-action"",""status"":""confirm"",""gradient"":""action-fill"",""asset"":""none"",""template"":""row""}"
"12","01-low-power","低电模式","我经常在外面手机突然没电导航都断了。横向排三个环形数据，中间大环显示当前电量，旁边两小环一个显示今日总用电一个显示预估剩余时长。点击天气图标能跳到天气app看是否要下雨。浅色底清爽一点，电量低于15%时大环变红色告警。","{""size"":""2x2"",""component"":""Text"",""binding"":""expression"",""click"":""deeplink_weather"",""data"":""weather"",""surface"":""tinted-surface"",""composition"":""meter-focus"",""status"":""alert"",""gradient"":""action-fill"",""asset"":""icon"",""template"":""row""}"
"13","01-low-power","低电模式","晚上手机经常掉到30%以下,想要一张暗色低电卡片,几个小面板横向排开:环形电池图标叠百分比数字、省电模式开关、勿扰开关,都能勾选一键切换,用夜晚深色渐变,提醒我该开启省电了。","{""size"":""2x2"",""component"":""Stack"",""binding"":""path"",""click"":""intent_setting_switch"",""data"":""static"",""surface"":""dark-stage"",""composition"":""paper-panel"",""status"":""warning"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
"14","01-low-power","低电模式","出差总忘记提前充电，上次飞机上手机没电差点误事。帮我做低电管理卡，上方大区域显示电量和""距离下次会议还有3小时""倒计时感信息，下面纵向排列今天日程每条前面勾选框双向绑定可勾选，底部按钮跳系统省电设置，深色舞台配夜晚渐变，5%以下红色超限告警纯文字色块。","{""size"":""2x4"",""component"":""Button"",""binding"":""path"",""click"":""deeplink_settings"",""data"":""calendar"",""surface"":""dark-stage"",""composition"":""hero-top"",""status"":""alert"",""gradient"":""temporal-band"",""asset"":""none"",""template"":""column""}"
"15","01-low-power","低电模式","晚上睡前手机经常只剩30%多,第二天起床怕没电。做个卡片纵向堆叠显示当前电量、明早天气、闹钟时间几个信息。卡片内嵌小面板,点卡片能跳到闹钟应用。浅色调底色,用夜晚的深蓝紫色渐变。电量低于30%时显示橙色待处理。底部横向排几个常用图标。","{""size"":""2x2"",""component"":""Column"",""binding"":""expression"",""click"":""deeplink_clock"",""data"":""weather"",""surface"":""tinted-surface"",""composition"":""paper-panel"",""status"":""warning"",""gradient"":""temporal-band"",""asset"":""icon"",""template"":""row""}"
